id,long,lat,alt,dist
15668,-100.00022,35.22305,0.0,0.0
15669,-100.00085,35.2235,0.0,76.0176903168693
15670,-100.00146,35.22395,0.0,150.67708023739522
15671,-100.00258,35.22474,0.0,285.0893050360067
15672,-100.0032,35.22513,0.0,356.1685404149938
15673,-100.00361,35.22535,0.0,400.7263514044587
15674,-100.00408,35.22557,0.0,449.93034385544206
15675,-100.00418,35.22561,0.0,460.0442236723607
15676,-100.00496,35.22588,0.0,536.9929439874777
15677,-100.00507,35.22591,0.0,547.5267659985738
15678,-100.00521,35.22594,0.0,560.6736884919159
15679,-100.00543,35.226,0.0,581.7413149929829
15680,-100.00561,35.22603,0.0,598.4281337065801
15681,-100.00578,35.22607,0.0,614.4975876672488
15682,-100.00628000000002,35.22615,0.0,660.7771383717701
15683,-100.0066,35.22619,0.0,690.182058413564
15684,-100.00692,35.22622,0.0,719.4394262995256
15685,-100.00703,35.22622,0.0,729.4310590943599
15686,-100.00819000000001,35.2263,0.0,835.1721571595023
15687,-100.01021,35.22641,0.0,1019.0618020522918
15688,-100.01535,35.22641,0.0,1485.942459341275
15689,-100.01599,35.22642,0.0,1544.0860894267685
15690,-100.01757,35.22641,0.0,1687.6062322502005
15691,-100.01841000000002,35.22642,0.0,1763.9138922768068
15692,-100.01903,35.22641,0.0,1820.2412091694832
15693,-100.02373,35.22641,0.0,2247.1554288775324
15694,-100.02414,35.2264,0.0,2284.413480885859
15695,-100.03439,35.22637,0.0,3215.4560736771837
15696,-100.03596,35.22638,0.0,3358.0679861628178
15697,-100.04714,35.22635,0.0,4373.58487387083
15698,-100.04797,35.22636,0.0,4448.984359171691
15699,-100.04886,35.22635,0.0,4529.833264197428
15700,-100.05153,35.22635,0.0,4772.3570534630135
15701,-100.05215,35.22634,0.0,4828.684418930444
15702,-100.05658,35.22634,0.0,5231.0741263454365
15703,-100.05732,35.22633,0.0,5298.299666651663
15704,-100.06157,35.22633,0.0,5684.339501252991
15705,-100.06229,35.22634,0.0,5749.7486390547065
15706,-100.06251000000002,35.22633,0.0,5769.762789121476
15707,-100.06275,35.22633,0.0,5791.562685663215
15708,-100.06292,35.22631,0.0,5807.163601974831
15709,-100.06301,35.22629,0.0,5815.635659858668
15710,-100.06314,35.22627,0.0,5827.6515372376525
15711,-100.06392,35.22608,0.0,5901.584247764752
15712,-100.06409,35.22603,0.0,5917.996292175868
15713,-100.06442000000001,35.22595,0.0,5949.263387046967
15714,-100.06456,35.22592,0.0,5962.410308022974
15715,-100.06484,35.22588,0.0,5988.229643013314
15716,-100.06498,35.22587,0.0,6000.994842618735
15717,-100.06679,35.22587,0.0,6165.4033277419485
15718,-100.06695,35.22588,0.0,6179.979149261187
15719,-100.06708,35.2259,0.0,6191.995082414104
15720,-100.06717,35.22591,0.0,6200.245362525904
15721,-100.0679,35.2261,0.0,6269.838036069521
15722,-100.0683,35.22622,0.0,6308.543981368348
15723,-100.06845,35.22626,0.0,6322.876537789929
15724,-100.06854,35.22628,0.0,6331.34859859021
15725,-100.06861,35.2263,0.0,6338.084605093259
15726,-100.06873,35.22632,0.0,6349.209112074414
15727,-100.06894,35.22634,0.0,6368.413223513941
15728,-100.06913,35.22635,0.0,6385.707256111966
15729,-100.07314,35.22635,0.0,6749.947104396095
15730,-100.07549,35.22628,0.0,6963.546330920536
15731,-100.07701,35.22626,0.0,7101.63035400471
15732,-100.07849,35.22626,0.0,7236.063165329261
15733,-100.07878,35.22627,0.0,7262.428186847935
15734,-100.0791,35.22629,0.0,7291.579685231892
15735,-100.08084,35.22636,0.0,7449.820494167827
15736,-100.08145,35.22637,0.0,7505.239697033591
15737,-100.12141,35.22643,0.0,11134.925447462756
15738,-100.12177,35.22642,0.0,11167.64415431946
15739,-100.12223,35.22642,0.0,11209.427243018095
15740,-100.12454,35.22634,0.0,11419.439600007332
15741,-100.12521,35.22634,0.0,11480.297637025327
15742,-100.12565,35.22633,0.0,11520.279576921443
15743,-100.126,35.22634,0.0,11552.090530744057
15744,-100.12652,35.22634,0.0,11599.323634100881
15745,-100.12664000000001,35.22633,0.0,11610.280152201074
15746,-100.12676,35.22633,0.0,11621.180100472591
15747,-100.12688,35.22631,0.0,11632.304606137557
15748,-100.12702,35.22628,0.0,11645.451472542683
15749,-100.12716,35.22626,0.0,11658.361082918997
15750,-100.12727,35.22623,0.0,11668.894864049562
15751,-100.12737,35.22619,0.0,11679.00868153435
15752,-100.12751,35.22615,0.0,11692.480712291215
15753,-100.12768,35.22608,0.0,11709.773172995843
15754,-100.12778,35.22603,0.0,11720.42293824525
15755,-100.12806,35.22587,0.0,11751.461313577209
